Country,2015,2016,2017,2018,2019,,Average,min,max
Georgia,4.297,4.252,4.285999775,6.965,4.519,,4.863799955,4.252,6.965
Ukraine,4.681,4.324,4.096000195,6.774,4.332,,4.841400039,4.096000195,6.774
Lebanon,4.839,5.129,5.224999905,3.808,5.197,,4.839599981,3.808,5.224999905
Vietnam,5.36,5.061,5.073999882,3.355,5.175,,4.804999976,3.355,5.36
Tajikistan,4.786,4.996,5.040999889,3.303,5.467,,4.718599978,3.303,5.467
Albania,4.959,4.655,4.644000053,4.586,4.719,,4.712600011,4.586,4.959
Kenya,4.419,4.356,4.552999973,5.662,4.509,,4.699799995,4.356,5.662
Cameroon,4.252,4.513,4.695000172,4.975,5.044,,4.695800034,4.252,5.044
Ghana,4.633,4.276,4.119999886,5.358,4.996,,4.676599977,4.119999886,5.358
,,4.574,4.573999882,4.88,4.639,,4.66674997,4.573999882,4.88
Mauritania,4.436,4.201,4.291999817,5.891,4.49,,4.661999963,4.201,5.891
Mali,3.995,4.073,4.190000057,6.627,4.39,,4.655000011,3.995,6.627
Iran,4.686,4.813,4.691999912,4.456,4.548,,4.638999982,4.456,4.813
Bulgaria,4.218,4.217,4.714000225,4.933,5.011,,4.618600045,4.217,5.011
Macedonia,5.007,5.121,5.175000191,3.774,3.933,,4.602000038,3.774,5.175000191
Bangladesh,4.694,4.643,4.607999802,4.5,4.456,,4.58019996,4.456,4.694
Mozambique,4.971,,4.550000191,4.308,4.466,,4.573750048,4.308,4.971
Senegal,3.904,4.219,4.534999847,5.398,4.681,,4.547399969,3.904,5.398
Swaziland,4.867,,,,4.212,,4.5395,4.212,4.867
Ivory Coast,3.655,3.916,4.179999828,5.89,4.944,,4.516999966,3.655,5.89
India,4.565,4.404,4.315000057,5.093,4.015,,4.478400011,4.015,5.093
Zambia,5.129,4.795,4.513999939,3.692,4.107,,4.447399988,3.692,5.129
Malawi,4.292,4.156,3.970000029,6.322,3.41,,4.430000006,3.41,6.322
,,,,4.34,4.516,,4.428,4.34,4.516
Ethiopia,4.512,4.508,4.460000038,4.35,4.286,,4.423200008,4.286,4.512
Myanmar,4.307,4.395,4.545000076,4.441,4.36,,4.409600015,4.307,4.545000076
Gabon,3.896,4.121,4.465000153,4.758,4.799,,4.407800031,3.896,4.799
Armenia,4.35,4.36,4.375999928,4.321,4.559,,4.393199986,4.321,4.559
Congo (Brazzaville),3.989,4.236,4.290999889,4.559,4.812,,4.377399978,3.989,4.812
Egypt,4.194,4.362,4.735000134,4.419,4.166,,4.375200027,4.166,4.735000134
Djibouti,4.369,,,,,,4.369,4.369,4.369
Congo (Kinshasa),4.517,4.272,4.28000021,4.245,4.418,,4.346400042,4.245,4.517
Sri Lanka,4.271,4.415,4.440000057,4.139,4.366,,4.326200011,4.139,4.440000057
Niger,3.845,3.856,4.027999878,5.155,4.628,,4.302399976,3.845,5.155
Liberia,4.571,3.622,3.532999992,5.566,3.975,,4.253399998,3.532999992,5.566
Haiti,4.518,4.028,3.602999926,5.504,3.597,,4.249999985,3.597,5.504
Cambodia,3.819,3.907,4.168000221,4.433,4.7,,4.205400044,3.819,4.7
,,3.832,3.59100008,6.31,2.853,,4.14650002,2.853,6.31
Zimbabwe,4.61,4.193,3.875,,3.663,,4.08525,3.663,4.61
Burkina Faso,3.587,3.739,4.032000065,4.424,4.587,,4.073800013,3.587,4.587
Rwanda,3.465,3.515,3.470999956,6.371,3.334,,4.031199991,3.334,6.371
Tanzania,3.781,3.666,3.348999977,6.072,3.231,,4.019799995,3.231,6.072
Uganda,3.931,3.739,4.080999851,4.103,4.189,,4.00859997,3.739,4.189
Chad,3.667,3.763,3.936000109,4.301,4.35,,4.003400022,3.667,4.35
Lesotho,4.898,,3.808000088,3.495,3.802,,4.000750022,3.495,4.898
Togo,2.839,3.303,3.494999886,6.192,4.085,,3.982799977,2.839,6.192
Comoros,3.956,3.956,,,3.973,,3.961666667,3.956,3.973
Benin,3.34,3.484,3.657000065,4.141,4.883,,3.901000013,3.34,4.883
Syria,3.006,3.069,3.461999893,6.441,3.462,,3.887999979,3.006,6.441
Angola,4.033,3.866,3.795000076,3.795,,,3.872250019,3.795,4.033
Yemen,4.077,3.724,3.592999935,4.377,3.38,,3.830199987,3.38,4.377
Botswana,4.332,3.974,3.766000032,3.59,3.488,,3.830000006,3.488,4.332
Guinea,3.656,3.607,3.506999969,3.582,4.534,,3.777199994,3.506999969,4.534
Madagascar,3.681,3.695,3.644000053,3.587,,,3.651750013,3.587,3.695
Afghanistan,3.575,3.36,3.79399991,3.632,3.203,,3.512799982,3.203,3.79399991
Central African Republic,3.678,,2.693000078,3.083,3.083,,3.13425002,2.693000078,3.678
Burundi,2.905,2.905,2.904999971,2.905,3.775,,3.078999994,2.904999971,3.775
